(419, 98, 483)
(367, 230, 403)
(434, 158, 408)
(526, 101, 373)
(320, 148, 532)
(348, 106, 546)
(427, 145, 428)
(484, 120, 396)
(385, 219, 396)
(392, 167, 441)
(492, 140, 368)
(210, 355, 435)
(242, 122, 636)
(333, 180, 487)
(329, 250, 421)
(440, 203, 456)
(392, 209, 399)
(405, 146, 449)
(448, 149, 403)
(424, 94, 482)
(401, 155, 444)
(406, 171, 423)
(405, 150, 445)
(350, 180, 470)
(454, 135, 411)
(434, 110, 456)
(396, 146, 458)
(353, 197, 450)
(327, 126, 547)
(381, 190, 429)
(391, 177, 432)
(348, 151, 501)
(487, 106, 407)
(357, 199, 444)
(417, 118, 465)
(391, 150, 459)
(398, 100, 502)
(275, 271, 454)
(447, 156, 397)
(265, 180, 555)
(463, 139, 398)
(324, 183, 493)
(437, 106, 457)
(363, 156, 481)
(367, 128, 505)
(244, 481, 275)
(380, 104, 516)
(365, 72, 563)
(502, 89, 409)
(353, 123, 524)
